report,5_similares,10_similares
540,"[330.0, 471.0, 45.0, 115.0, 315.0]","[330.0, 471.0, 45.0, 115.0, 315.0, 132.0, 67.0, 171.0, 464.0, 458.0]"
541,"[132.0, 79.0, 99.0, 174.0, 95.0]","[132.0, 79.0, 99.0, 174.0, 95.0, 162.0, 169.0, 412.0, 490.0, 306.0]"
546,"[174.0, 139.0, 132.0, 99.0, 429.0]","[174.0, 139.0, 132.0, 99.0, 429.0, 162.0, 95.0, 79.0, 412.0, 524.0]"
550,"[172.0, 433.0, 253.0, 317.0, 288.0]","[172.0, 433.0, 253.0, 317.0, 288.0, 430.0, 496.0, 390.0, 177.0, 120.0]"
552,"[190.0, 288.0, 440.0, 284.0, 535.0]","[190.0, 288.0, 440.0, 284.0, 535.0, 135.0, 358.0, 81.0, 406.0, 172.0]"
554,"[172.0, 496.0, 177.0, 390.0, 433.0]","[172.0, 496.0, 177.0, 390.0, 433.0, 288.0, 12.0, 243.0, 314.0, 435.0]"
556,"[7.0, 149.0, 336.0, 315.0, 189.0]","[7.0, 149.0, 336.0, 315.0, 189.0, 45.0, 458.0, 115.0, 187.0, 277.0]"
558,"[343.0, 220.0, 461.0, 52.0, 213.0]","[343.0, 220.0, 461.0, 52.0, 213.0, 155.0, 453.0, 32.0, 297.0, 221.0]"
559,"[433.0, 12.0, 288.0, 84.0, 435.0]","[433.0, 12.0, 288.0, 84.0, 435.0, 73.0, 496.0, 314.0, 172.0, 390.0]"
577,"[148.0, 164.0, 179.0, 75.0, 496.0]","[148.0, 164.0, 179.0, 75.0, 496.0, 260.0, 430.0, 167.0, 314.0, 390.0]"
583,"[97.0, 162.0, 427.0, 412.0, 398.0]","[97.0, 162.0, 427.0, 412.0, 398.0, 79.0, 280.0, 527.0, 95.0, 139.0]"
589,"[62.0, 244.0, 400.0, 315.0, 145.0]","[62.0, 244.0, 400.0, 315.0, 145.0, 141.0, 324.0, 458.0, 195.0, 168.0]"
591,"[336.0, 315.0, 45.0, 277.0, 458.0]","[336.0, 315.0, 45.0, 277.0, 458.0, 149.0, 189.0, 7.0, 187.0, 306.0]"
595,"[524.0, 275.0, 229.0, 348.0, 169.0]","[524.0, 275.0, 229.0, 348.0, 169.0, 377.0, 151.0, 37.0, 510.0, 106.0]"
598,"[117.0, 81.0, 188.0, 12.0, 120.0]","[117.0, 81.0, 188.0, 12.0, 120.0, 28.0, 435.0, 13.0, 518.0, 182.0]"
613,"[348.0, 360.0, 531.0, 341.0, 410.0]","[348.0, 360.0, 531.0, 341.0, 410.0, 229.0, 194.0, 3.0, 423.0, 400.0]"
615,"[215.0, 149.0, 37.0, 538.0, 477.0]","[215.0, 149.0, 37.0, 538.0, 477.0, 404.0, 145.0, 282.0, 448.0, 292.0]"
616,"[464.0, 145.0, 282.0, 171.0, 62.0]","[464.0, 145.0, 282.0, 171.0, 62.0, 411.0, 531.0, 341.0, 195.0, 215.0]"
618,"[341.0, 195.0, 448.0, 493.0, 441.0]","[341.0, 195.0, 448.0, 493.0, 441.0, 230.0, 215.0, 145.0, 411.0, 239.0]"
627,"[81.0, 117.0, 460.0, 12.0, 188.0]","[81.0, 117.0, 460.0, 12.0, 188.0, 28.0, 13.0, 20.0, 518.0, 435.0]"
629,"[399.0, 151.0, 145.0, 141.0, 168.0]","[399.0, 151.0, 145.0, 141.0, 168.0, 514.0, 66.0, 124.0, 531.0, 194.0]"
637,"[527.0, 427.0, 398.0, 299.0, 142.0]","[527.0, 427.0, 398.0, 299.0, 142.0, 97.0, 389.0, 205.0, 434.0, 162.0]"
640,"[205.0, 389.0, 373.0, 456.0, 440.0]","[205.0, 389.0, 373.0, 456.0, 440.0, 406.0, 20.0, 285.0, 182.0, 29.0]"
646,"[423.0, 141.0, 168.0, 360.0, 194.0]","[423.0, 141.0, 168.0, 360.0, 194.0, 348.0, 254.0, 3.0, 151.0, 531.0]"
650,"[279.0, 283.0, 405.0, 537.0, 301.0]","[279.0, 283.0, 405.0, 537.0, 301.0, 62.0, 187.0, 45.0, 244.0, 403.0]"
659,"[66.0, 60.0, 22.0, 319.0, 122.0]","[66.0, 60.0, 22.0, 319.0, 122.0, 399.0, 292.0, 507.0, 357.0, 149.0]"
660,"[132.0, 174.0, 429.0, 162.0, 79.0]","[132.0, 174.0, 429.0, 162.0, 79.0, 99.0, 139.0, 95.0, 471.0, 37.0]"
662,"[77.0, 112.0, 155.0, 203.0, 61.0]","[77.0, 112.0, 155.0, 203.0, 61.0, 256.0, 453.0, 32.0, 143.0, 357.0]"
665,"[145.0, 341.0, 400.0, 168.0, 254.0]","[145.0, 341.0, 400.0, 168.0, 254.0, 141.0, 464.0, 195.0, 106.0, 282.0]"
666,"[411.0, 50.0, 395.0, 215.0, 256.0]","[411.0, 50.0, 395.0, 215.0, 256.0, 239.0, 32.0, 461.0, 341.0, 257.0]"
673,"[341.0, 239.0, 531.0, 448.0, 411.0]","[341.0, 239.0, 531.0, 448.0, 411.0, 145.0, 348.0, 441.0, 355.0, 493.0]"
677,"[45.0, 458.0, 315.0, 336.0, 277.0]","[45.0, 458.0, 315.0, 336.0, 277.0, 189.0, 187.0, 149.0, 7.0, 306.0]"
684,"[412.0, 398.0, 142.0, 434.0, 527.0]","[412.0, 398.0, 142.0, 434.0, 527.0, 162.0, 97.0, 95.0, 79.0, 307.0]"
691,"[343.0, 58.0, 213.0, 220.0, 155.0]","[343.0, 58.0, 213.0, 220.0, 155.0, 453.0, 32.0, 61.0, 257.0, 35.0]"
693,"[429.0, 162.0, 139.0, 174.0, 412.0]","[429.0, 162.0, 139.0, 174.0, 412.0, 79.0, 132.0, 99.0, 95.0, 524.0]"
694,"[319.0, 22.0, 66.0, 60.0, 62.0]","[319.0, 22.0, 66.0, 60.0, 62.0, 122.0, 411.0, 531.0, 244.0, 220.0]"
697,"[155.0, 58.0, 453.0, 32.0, 256.0]","[155.0, 58.0, 453.0, 32.0, 256.0, 112.0, 203.0, 61.0, 343.0, 77.0]"
699,"[436.0, 115.0, 63.0, 471.0, 330.0]","[436.0, 115.0, 63.0, 471.0, 330.0, 88.0, 253.0, 100.0, 341.0, 67.0]"
701,"[182.0, 20.0, 389.0, 29.0, 205.0]","[182.0, 20.0, 389.0, 29.0, 205.0, 535.0, 456.0, 440.0, 284.0, 177.0]"
702,"[29.0, 373.0, 462.0, 456.0, 182.0]","[29.0, 373.0, 462.0, 456.0, 182.0, 205.0, 90.0, 285.0, 135.0, 284.0]"
703,"[50.0, 221.0, 400.0, 52.0, 395.0]","[50.0, 221.0, 400.0, 52.0, 395.0, 3.0, 297.0, 411.0, 341.0, 445.0]"
706,"[177.0, 75.0, 164.0, 390.0, 317.0]","[177.0, 75.0, 164.0, 390.0, 317.0, 496.0, 389.0, 433.0, 205.0, 342.0]"
707,"[164.0, 430.0, 12.0, 496.0, 390.0]","[164.0, 430.0, 12.0, 496.0, 390.0, 317.0, 177.0, 13.0, 253.0, 433.0]"
712,"[319.0, 66.0, 60.0, 22.0, 220.0]","[319.0, 66.0, 60.0, 22.0, 220.0, 62.0, 122.0, 213.0, 531.0, 49.0]"
713,"[319.0, 22.0, 66.0, 60.0, 122.0]","[319.0, 22.0, 66.0, 60.0, 122.0, 62.0, 220.0, 213.0, 411.0, 531.0]"
719,"[168.0, 348.0, 37.0, 141.0, 423.0]","[168.0, 348.0, 37.0, 141.0, 423.0, 194.0, 360.0, 124.0, 254.0, 229.0]"
720,"[319.0, 22.0, 66.0, 60.0, 122.0]","[319.0, 22.0, 66.0, 60.0, 122.0, 220.0, 62.0, 213.0, 531.0, 411.0]"
725,"[377.0, 275.0, 169.0, 162.0, 99.0]","[377.0, 275.0, 169.0, 162.0, 99.0, 106.0, 79.0, 348.0, 95.0, 74.0]"
726,"[423.0, 168.0, 254.0, 141.0, 514.0]","[423.0, 168.0, 254.0, 141.0, 514.0, 360.0, 194.0, 348.0, 451.0, 3.0]"
727,"[172.0, 433.0, 314.0, 288.0, 317.0]","[172.0, 433.0, 314.0, 288.0, 317.0, 177.0, 496.0, 167.0, 148.0, 430.0]"
731,"[343.0, 220.0, 213.0, 155.0, 453.0]","[343.0, 220.0, 213.0, 155.0, 453.0, 32.0, 203.0, 61.0, 143.0, 257.0]"
734,"[88.0, 436.0, 63.0, 471.0, 387.0]","[88.0, 436.0, 63.0, 471.0, 387.0, 307.0, 280.0, 358.0, 100.0, 97.0]"
741,"[29.0, 284.0, 182.0, 358.0, 535.0]","[29.0, 284.0, 182.0, 358.0, 535.0, 440.0, 135.0, 20.0, 456.0, 462.0]"
744,"[74.0, 239.0, 167.0, 355.0, 304.0]","[74.0, 239.0, 167.0, 355.0, 304.0, 148.0, 26.0, 450.0, 260.0, 441.0]"
747,"[360.0, 141.0, 429.0, 194.0, 355.0]","[360.0, 141.0, 429.0, 194.0, 355.0, 348.0, 524.0, 168.0, 423.0, 254.0]"
749,"[12.0, 84.0, 342.0, 188.0, 13.0]","[12.0, 84.0, 342.0, 188.0, 13.0, 435.0, 518.0, 28.0, 117.0, 496.0]"
751,"[343.0, 155.0, 220.0, 213.0, 453.0]","[343.0, 155.0, 220.0, 213.0, 453.0, 58.0, 32.0, 61.0, 203.0, 257.0]"
752,"[341.0, 531.0, 348.0, 239.0, 410.0]","[341.0, 531.0, 348.0, 239.0, 410.0, 49.0, 360.0, 162.0, 411.0, 448.0]"
753,"[244.0, 132.0, 324.0, 451.0, 37.0]","[244.0, 132.0, 324.0, 451.0, 37.0, 254.0, 355.0, 464.0, 145.0, 171.0]"
754,"[164.0, 75.0, 177.0, 390.0, 496.0]","[164.0, 75.0, 177.0, 390.0, 496.0, 342.0, 12.0, 205.0, 389.0, 430.0]"
759,"[205.0, 456.0, 182.0, 389.0, 29.0]","[205.0, 456.0, 182.0, 389.0, 29.0, 373.0, 406.0, 284.0, 440.0, 20.0]"
760,"[45.0, 315.0, 458.0, 336.0, 277.0]","[45.0, 315.0, 458.0, 336.0, 277.0, 149.0, 7.0, 187.0, 189.0, 306.0]"
771,"[112.0, 453.0, 61.0, 256.0, 155.0]","[112.0, 453.0, 61.0, 256.0, 155.0, 58.0, 32.0, 257.0, 77.0, 35.0]"
774,"[399.0, 145.0, 531.0, 464.0, 514.0]","[399.0, 145.0, 531.0, 464.0, 514.0, 455.0, 141.0, 292.0, 151.0, 168.0]"
776,"[285.0, 135.0, 373.0, 462.0, 287.0]","[285.0, 135.0, 373.0, 462.0, 287.0, 20.0, 90.0, 440.0, 535.0, 29.0]"
792,"[460.0, 117.0, 188.0, 28.0, 81.0]","[460.0, 117.0, 188.0, 28.0, 81.0, 518.0, 13.0, 12.0, 435.0, 342.0]"
795,"[527.0, 398.0, 427.0, 142.0, 307.0]","[527.0, 398.0, 427.0, 142.0, 307.0, 299.0, 412.0, 97.0, 280.0, 434.0]"
797,"[195.0, 230.0, 493.0, 441.0, 244.0]","[195.0, 230.0, 493.0, 441.0, 244.0, 448.0, 341.0, 145.0, 464.0, 62.0]"
806,"[106.0, 115.0, 49.0, 377.0, 455.0]","[106.0, 115.0, 49.0, 377.0, 455.0, 407.0, 341.0, 436.0, 531.0, 280.0]"
811,"[410.0, 395.0, 239.0, 450.0, 531.0]","[410.0, 395.0, 239.0, 450.0, 531.0, 348.0, 411.0, 341.0, 3.0, 360.0]"
813,"[244.0, 441.0, 493.0, 195.0, 62.0]","[244.0, 441.0, 493.0, 195.0, 62.0, 230.0, 448.0, 292.0, 215.0, 464.0]"
818,"[149.0, 315.0, 336.0, 458.0, 187.0]","[149.0, 315.0, 336.0, 458.0, 187.0, 7.0, 45.0, 277.0, 189.0, 306.0]"
819,"[260.0, 462.0, 535.0, 90.0, 148.0]","[260.0, 462.0, 535.0, 90.0, 148.0, 373.0, 29.0, 75.0, 456.0, 304.0]"
820,"[317.0, 253.0, 433.0, 177.0, 430.0]","[317.0, 253.0, 433.0, 177.0, 430.0, 172.0, 148.0, 164.0, 120.0, 535.0]"
821,"[490.0, 341.0, 377.0, 169.0, 455.0]","[490.0, 341.0, 377.0, 169.0, 455.0, 106.0, 275.0, 477.0, 471.0, 132.0]"
822,"[169.0, 162.0, 377.0, 106.0, 79.0]","[169.0, 162.0, 377.0, 106.0, 79.0, 412.0, 348.0, 275.0, 490.0, 229.0]"
830,"[341.0, 145.0, 448.0, 411.0, 282.0]","[341.0, 145.0, 448.0, 411.0, 282.0, 531.0, 195.0, 400.0, 230.0, 37.0]"
832,"[242.0, 88.0, 29.0, 483.0, 284.0]","[242.0, 88.0, 29.0, 483.0, 284.0, 90.0, 280.0, 450.0, 100.0, 260.0]"
834,"[527.0, 427.0, 162.0, 398.0, 434.0]","[527.0, 427.0, 162.0, 398.0, 434.0, 79.0, 299.0, 97.0, 95.0, 142.0]"
836,"[456.0, 205.0, 284.0, 389.0, 406.0]","[456.0, 205.0, 284.0, 389.0, 406.0, 182.0, 440.0, 29.0, 373.0, 20.0]"
839,"[257.0, 256.0, 22.0, 61.0, 411.0]","[257.0, 256.0, 22.0, 61.0, 411.0, 32.0, 453.0, 357.0, 203.0, 66.0]"
847,"[433.0, 317.0, 253.0, 164.0, 430.0]","[433.0, 317.0, 253.0, 164.0, 430.0, 120.0, 496.0, 73.0, 172.0, 148.0]"
848,"[450.0, 239.0, 26.0, 127.0, 229.0]","[450.0, 239.0, 26.0, 127.0, 229.0, 131.0, 308.0, 100.0, 34.0, 348.0]"
851,"[225.0, 277.0, 149.0, 45.0, 189.0]","[225.0, 277.0, 149.0, 45.0, 189.0, 336.0, 315.0, 187.0, 458.0, 306.0]"
853,"[307.0, 280.0, 100.0, 299.0, 462.0]","[307.0, 280.0, 100.0, 299.0, 462.0, 90.0, 97.0, 304.0, 535.0, 450.0]"
864,"[282.0, 464.0, 145.0, 62.0, 411.0]","[282.0, 464.0, 145.0, 62.0, 411.0, 171.0, 230.0, 404.0, 195.0, 477.0]"
865,"[406.0, 205.0, 440.0, 456.0, 284.0]","[406.0, 205.0, 440.0, 456.0, 284.0, 182.0, 29.0, 373.0, 389.0, 172.0]"
867,"[464.0, 145.0, 37.0, 168.0, 254.0]","[464.0, 145.0, 37.0, 168.0, 254.0, 282.0, 477.0, 141.0, 348.0, 195.0]"
871,"[398.0, 527.0, 434.0, 97.0, 299.0]","[398.0, 527.0, 434.0, 97.0, 299.0, 348.0, 412.0, 321.0, 79.0, 95.0]"
873,"[441.0, 448.0, 321.0, 348.0, 308.0]","[441.0, 448.0, 321.0, 348.0, 308.0, 239.0, 215.0, 493.0, 451.0, 531.0]"
874,"[279.0, 405.0, 301.0, 537.0, 408.0]","[279.0, 405.0, 301.0, 537.0, 408.0, 403.0, 283.0, 412.0, 99.0, 174.0]"
875,"[399.0, 514.0, 151.0, 141.0, 194.0]","[399.0, 514.0, 151.0, 141.0, 194.0, 145.0, 168.0, 531.0, 254.0, 451.0]"
877,"[73.0, 314.0, 433.0, 430.0, 84.0]","[73.0, 314.0, 433.0, 430.0, 84.0, 12.0, 164.0, 253.0, 167.0, 496.0]"
880,"[464.0, 145.0, 282.0, 62.0, 195.0]","[464.0, 145.0, 282.0, 62.0, 195.0, 124.0, 230.0, 37.0, 171.0, 477.0]"
881,"[400.0, 360.0, 141.0, 168.0, 3.0]","[400.0, 360.0, 141.0, 168.0, 3.0, 106.0, 145.0, 514.0, 341.0, 282.0]"
885,"[317.0, 253.0, 164.0, 433.0, 12.0]","[317.0, 253.0, 164.0, 433.0, 12.0, 496.0, 342.0, 430.0, 177.0, 390.0]"
886,"[132.0, 174.0, 429.0, 162.0, 79.0]","[132.0, 174.0, 429.0, 162.0, 79.0, 99.0, 100.0, 139.0, 95.0, 471.0]"
893,"[427.0, 527.0, 299.0, 398.0, 307.0]","[427.0, 527.0, 299.0, 398.0, 307.0, 97.0, 280.0, 142.0, 242.0, 139.0]"
896,"[151.0, 348.0, 37.0, 124.0, 194.0]","[151.0, 348.0, 37.0, 124.0, 194.0, 423.0, 141.0, 168.0, 464.0, 360.0]"
900,"[239.0, 131.0, 127.0, 100.0, 450.0]","[239.0, 131.0, 127.0, 100.0, 450.0, 215.0, 411.0, 531.0, 448.0, 341.0]"
